Query device success: there are 8 devices
Device ID 0 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 1 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 2 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 3 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 4 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 5 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 6 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 7 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------

function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,2048,'(1:0)',1,'(1:0)',1,184.963, 92.5154, 181.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,2048,'(1:0)',1,'(1:0)',1,141.649, 141.675, 237,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,4096,'(1:0)',1,'(1:0)',1,306.718, 153.387, 437.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,4096,'(1:0)',1,'(1:0)',1,245.7, 245.723, 546.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,6144,'(1:0)',1,'(1:0)',1,407.006, 203.528, 742.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,6144,'(1:0)',1,'(1:0)',1,337.323, 337.344, 895.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
