
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,2048,2048,1,1,1,2048,578.666, 1158.18, 14.5,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,2048,2048,1,1,1,2048,155.095, 620.835, 54.1,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,4096,4096,1,1,1,4096,283.194, 566.596, 118.5,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,4096,4096,1,1,1,4096,160.721, 643.119, 208.8,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,6144,6144,1,1,1,6144,283.528, 567.195, 266.3,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,6144,6144,1,1,1,6144,163.924, 655.858, 460.6,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,8192,8192,1,1,1,8192,297.223, 594.555, 451.6,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,8192,8192,1,1,1,8192,162.089, 648.475, 828.1,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,10240,10240,1,1,1,10240,291.366, 582.818, 719.8,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,10240,10240,1,1,1,10240,165.581, 662.423, 1266.6,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,12288,12288,1,1,1,12288,292.354, 584.78, 1033,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,12288,12288,1,1,1,12288,164.498, 658.073, 1835.9,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,14336,14336,1,1,1,14336,287.915, 575.89, 1427.7,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,14336,14336,1,1,1,14336,163.325, 653.368, 2516.8,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,16384,16384,1,1,1,16384,293.557, 587.169, 1828.9,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,16384,16384,1,1,1,16384,167.317, 669.33, 3208.8,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,18432,18432,1,1,1,18432,284.094, 568.234, 2391.8,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,18432,18432,1,1,1,18432,164.638, 658.607, 4127.2,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f32_r,f32_r,f32_r,f32_r,f32_r,20480,20480,1,1,1,20480,292.293, 584.629, 2870,
function,a_type,b_type,c_type,d_type,compute_type,M,N,alpha,incx,incy,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
ger,f64_r,f64_r,f64_r,f64_r,f64_r,20480,20480,1,1,1,20480,164.635, 658.588, 5095.4,
