
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,2048,'(1:0)',1,'(1:0)',1,259.635, 129.865, 129.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,2048,'(1:0)',1,'(1:0)',1,112.919, 112.94, 297.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,4096,'(1:0)',1,'(1:0)',1,189.539, 94.7869, 708.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,4096,'(1:0)',1,'(1:0)',1,163.6, 163.615, 820.6,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,6144,'(1:0)',1,'(1:0)',1,271.325, 135.679, 1113.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,6144,'(1:0)',1,'(1:0)',1,220.902, 220.915, 1367.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,8192,'(1:0)',1,'(1:0)',1,352.668, 176.35, 1522.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,8192,'(1:0)',1,'(1:0)',1,299.764, 299.777, 1791.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,10240,'(1:0)',1,'(1:0)',1,231.464, 115.741, 3624.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,10240,'(1:0)',1,'(1:0)',1,202.394, 202.401, 4145.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,12288,'(1:0)',1,'(1:0)',1,270.501, 135.259, 4466,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,12288,'(1:0)',1,'(1:0)',1,236.693, 236.7, 5103.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,14336,'(1:0)',1,'(1:0)',1,312.322, 156.169, 5264.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,14336,'(1:0)',1,'(1:0)',1,284.68, 284.687, 5775.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,16384,'(1:0)',1,'(1:0)',1,352.588, 176.302, 6091,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,16384,'(1:0)',1,'(1:0)',1,306.29, 306.297, 7011.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,18432,'(1:0)',1,'(1:0)',1,287.415, 143.713, 9456.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,18432,'(1:0)',1,'(1:0)',1,254.638, 254.643, 10674.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f32_c,f32_c,f32_c,f32_c,f32_c,L,20480,'(1:0)',1,'(1:0)',1,298.869, 149.44, 11227.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpmv,f64_c,f64_c,f64_c,f64_c,f64_c,L,20480,'(1:0)',1,'(1:0)',1,294.068, 294.073, 11411,
