
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,2048,1,1,64.4916, 257.966, 65.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,2048,1,1,43.8246, 350.597, 95.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,4096,1,1,36.9235, 147.694, 454.6,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,4096,1,1,21.2259, 169.807, 790.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,6144,1,1,36.8868, 147.547, 1023.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,6144,1,1,20.2918, 162.334, 1860.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,8192,1,1,37.2132, 148.853, 1803.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,8192,1,1,21.912, 175.296, 3063.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,10240,1,1,37.5141, 150.056, 2795.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,10240,1,1,22.0184, 176.147, 4763.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,12288,1,1,44.2834, 177.133, 3410.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,12288,1,1,23.2545, 186.036, 6494.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,14336,1,1,37.6389, 150.555, 5461.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,14336,1,1,22.0483, 176.386, 9322.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,16384,1,1,37.6782, 150.713, 7125.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,16384,1,1,22.0038, 176.03, 12201,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,18432,1,1,40.926, 163.704, 8302.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,18432,1,1,24.195, 193.56, 14043.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f32_r,f32_r,f32_r,f32_r,f32_r,L,20480,1,1,37.5611, 150.244, 11167.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
spr,f64_r,f64_r,f64_r,f64_r,f64_r,L,20480,1,1,25.6551, 205.241, 16350.4,
