Query device success: there are 8 devices
Device ID 0 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 1 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 2 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 3 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 4 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 5 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 6 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 7 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------

function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,lda,ldb,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrkx,f32_r,f32_r,f32_r,f32_r,f32_r,L,N,512,512,512,512,512,1025, 19.9883, 131.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,lda,ldb,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrkx,f64_r,f64_r,f64_r,f64_r,f64_r,L,N,512,512,512,512,512,554.785, 21.6375, 242.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,lda,ldb,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrkx,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,512,512,512,512,512,1205.83, 11.7573, 446.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,lda,ldb,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrkx,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,512,512,512,512,512,1399.01, 27.2818, 384.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,lda,ldb,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrkx,f32_r,f32_r,f32_r,f32_r,f32_r,L,N,1024,1024,1024,1024,1024,4154.58, 40.5404, 258.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,lda,ldb,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrkx,f64_r,f64_r,f64_r,f64_r,f64_r,L,N,1024,1024,1024,1024,1024,2236.35, 43.6446, 480.6,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,lda,ldb,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrkx,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,1024,1024,1024,1024,1024,4961.53, 24.2073, 866.5,
